,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
84,0.1,1,1,0.2,0.1,700,8357.453866860962
85,0.1,1,1,0.2,0.1,800,9319.426704309082
86,0.1,1,1,0.2,0.1,900,8336.104242227173
87,0.1,1,1,0.2,0.1,1000,8192.859794757462
88,0.1,1,1,0.2,0.2,50,7403.304204899597
89,0.1,1,1,0.2,0.2,100,4751.127436596679
90,0.1,1,1,0.2,0.2,200,2155.7911716796875
91,0.1,1,1,0.2,0.2,300,4934.91137685547
92,0.1,1,1,0.2,0.2,400,7184.361015222167
93,0.1,1,1,0.2,0.2,500,6848.297527215575
94,0.1,1,1,0.2,0.2,600,7918.99501027832
95,0.1,1,1,0.2,0.2,700,8357.453866860962
96,0.1,1,1,0.2,0.2,800,9319.426704309082
97,0.1,1,1,0.2,0.2,900,8336.104242227173
98,0.1,1,1,0.2,0.2,1000,8192.859794757462
99,0.1,1,1,0.2,0.3,50,7403.304204899597
100,0.1,1,1,0.2,0.3,100,4751.127436596679
101,0.1,1,1,0.2,0.3,200,2155.7911716796875
102,0.1,1,1,0.2,0.3,300,4934.91137685547
103,0.1,1,1,0.2,0.3,400,7184.361015222167
104,0.1,1,1,0.2,0.3,500,6848.297527215575
105,0.1,1,1,0.2,0.3,600,7918.99501027832
106,0.1,1,1,0.2,0.3,700,8357.453866860962
107,0.1,1,1,0.2,0.3,800,9319.426704309082
108,0.1,1,1,0.2,0.3,900,8336.104242227173
109,0.1,1,1,0.2,0.3,1000,8192.859794757462
110,0.1,1,1,0.2,0.4,50,7403.304204899597
111,0.1,1,1,0.2,0.4,100,4751.127436596679
112,0.1,1,1,0.2,0.4,200,2155.7911716796875
113,0.1,1,1,0.2,0.4,300,4934.91137685547
114,0.1,1,1,0.2,0.4,400,7184.361015222167
115,0.1,1,1,0.2,0.4,500,6848.297527215575
116,0.1,1,1,0.2,0.4,600,7918.99501027832
117,0.1,1,1,0.2,0.4,700,8357.453866860962
118,0.1,1,1,0.2,0.4,800,9319.426704309082
119,0.1,1,1,0.2,0.4,900,8336.104242227173
120,0.1,1,1,0.2,0.4,1000,8192.859794757462
121,0.1,1,1,0.2,0.5,50,6201.2681016510005
122,0.1,1,1,0.2,0.5,100,2196.6067266052246
123,0.1,1,1,0.2,0.5,200,4382.0903330444335
124,0.1,1,1,0.2,0.5,300,6201.0593337036125
125,0.1,1,1,0.2,0.5,400,8098.409652612304
126,0.1,1,1,0.2,0.5,500,7843.089881799316
127,0.1,1,1,0.2,0.5,600,8663.170474908446
128,0.1,1,1,0.2,0.5,700,8546.181598565676
129,0.1,1,1,0.2,0.5,800,9411.213566205597
130,0.1,1,1,0.2,0.5,900,8348.155151269531
131,0.1,1,1,0.2,0.5,1000,8704.013347528075
132,0.1,1,1,0.2,0.6,50,6201.2681016510005
133,0.1,1,1,0.2,0.6,100,2196.6067266052246
134,0.1,1,1,0.2,0.6,200,4382.0903330444335
