,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,n_estimators,error
9,0.1,1,1,0.1,0.6,1000,19.743055819140235
65,0.1,1,2,0.5,0.6,500,19.74567385467165
287,0.1,4,1,0.5,0.4,700,19.74955417047046
152,0.1,2,1,0.5,0.4,700,19.74955417047046
491,0.2,1,2,0.6,0.8,600,19.765047406354043
1111,0.3,4,1,0.6,0.4,600,19.765866677570994
976,0.3,2,1,0.6,0.4,600,19.765866677570994
604,0.2,2,2,0.5,0.4,1000,19.76689703363056
739,0.2,4,2,0.5,0.4,1000,19.76689703363056
84,0.1,1,2,0.6,0.6,1000,19.768376327904253
421,0.2,1,1,0.5,0.4,600,19.77016373181933
881,0.3,1,2,0.5,0.8,600,19.77786550247876
899,0.3,1,2,0.6,0.8,1000,19.78234677617504
35,0.1,1,1,0.6,0.6,500,19.784580680523277
893,0.3,1,2,0.6,0.6,900,19.78467138128532
494,0.2,1,2,0.6,0.8,1000,19.791752077402332
617,0.2,2,2,0.6,0.4,700,19.796808427701556
752,0.2,4,2,0.6,0.4,700,19.796808427701556
79,0.1,1,2,0.6,0.4,1000,19.798199732762512
882,0.3,1,2,0.5,0.8,700,19.7996464394108
23,0.1,1,1,0.5,0.6,900,19.80640848968315
845,0.3,1,1,0.6,0.6,500,19.808721025228404
615,0.2,2,2,0.6,0.4,500,19.81230930928761
750,0.2,4,2,0.6,0.4,500,19.81230930928761
474,0.2,1,2,0.5,0.6,1000,19.812998447141464
1096,0.3,4,1,0.5,0.4,600,19.81513984680794
961,0.3,2,1,0.5,0.4,600,19.81513984680794
555,0.2,2,1,0.5,0.4,500,19.82014706986458
690,0.2,4,1,0.5,0.4,500,19.82014706986458
286,0.1,4,1,0.5,0.4,600,19.821381576973344
151,0.1,2,1,0.5,0.4,600,19.821381576973344
552,0.2,2,1,0.1,0.8,700,19.823703692772074
41,0.1,1,1,0.6,0.8,600,19.825683526920667
957,0.3,2,1,0.1,0.8,700,19.833211668987484
36,0.1,1,1,0.6,0.6,600,19.84216877488081
468,0.2,1,2,0.5,0.4,900,19.844536723063722
476,0.2,1,2,0.5,0.8,600,19.845077340738502
166,0.1,2,1,0.6,0.4,600,19.84805820046836
301,0.1,4,1,0.6,0.4,600,19.84805820046836
